	log2fc	bh_corrected
TDA5	0.578644574	0.027722404
YLR126C	0.498484697	0.027705257
GAA1	0.279235046	0.027751245
ORC3	0.259716714	0.027854853
AAT1	0.28771099	0.027842221
SLM1	0.21352873	0.027855072
ALD4	1.42076039	0.028118801
RPL7B	0.419070815	0.028107239
PRD1	-0.423665701	0.028176873
CCZ1	0.434457851	0.028423573
THI20	0.51612751	0.028419882
MET5	0.33743991	0.028663636
MRPL33	-0.687670887	0.028672185
NFU1	-0.386774833	0.028656228
ILV6	-0.301886175	0.028646883
MAM33	0.67325723	0.028630959
BUD7	0.257225904	0.028627294
PDR15	1.996439794	0.028765512
TMA108	-0.225732002	0.028768741
ARE2	0.811962746	0.028756044
MET2	0.39718284	0.028979564
PNT1	-0.303053607	0.028987102
VPS21	0.323041893	0.029056326
GGC1	-0.990856946	0.029124065
TRR2	-0.653640068	0.029198886
UIP4	0.644897834	0.02918133
OMS1	-0.207445042	0.029169408
PPA2	0.257494771	0.029197799
ATF2	0.48836512	0.029164948
SFI1	0.415419474	0.029155198
SPG5	0.822722168	0.029194932
IDP1	-0.733082525	0.029237803
HLR1	0.813484455	0.029225761
MRPL51	-1.067611006	0.029372071
YML082W	0.129338777	0.029552182
TAF2	0.192532283	0.029596972
CHO2	-0.730442585	0.029772167
ARE1	0.583743552	0.029773959
CFT2	0.227134592	0.02978165
NNF2	0.270083794	0.029768522
YFL013W-A	-0.39140606	0.029741478
RKM2	0.424456615	0.029908508
SAM1	-0.507854122	0.030054114
CRC1	1.476945632	0.030042086
CNE1	0.308243861	0.030016256
RAF1	0.468985944	0.030301918
PPQ1	-0.609591724	0.030385575
VHR1	0.58310132	0.030369295
AI2	-1.160418691	0.030424967
PDR17	0.203004069	0.030405615
ICP55	-0.380626834	0.030596037
URA1	-0.729127259	0.030582771
SLD7	0.555239165	0.030694833
CBF2	0.339680322	0.030794918
CEG1	0.172186714	0.030766752
AIM19	-1.333571538	0.031003436
YCP4	0.361908797	0.031278913
NNT1	0.237989433	0.031307567
KKQ8	0.323050022	0.031282159
ILV2	-0.589426527	0.031310752
ADH3	0.419249957	0.031378405
MPH1	0.261504963	0.03139925
MUB1	-0.291697564	0.031486688
YTA12	-0.364393673	0.031528263
DSF1	1.929712247	0.031514483
HFA1	-0.373819145	0.031477775
RTT101	0.231837811	0.031736395
ETT1	0.213817554	0.031816297
YFR039C	0.297625509	0.031937701
CBS2	-0.29581416	0.032016515
ALF1	0.538802505	0.032039206
KXD1	0.365846162	0.032050254
BDH1	-0.199634685	0.032221516
YNR034W-A	-1.193374073	0.032187668
MET30	0.197883497	0.032157398
PMC1	0.353949792	0.032122021
YGR201C	0.973984392	0.032224579
IDP2	-0.814618442	0.032218797
SRC1	0.407110988	0.03226513
YPT11	0.256024023	0.032251246
MUS81	0.252825679	0.032305377
BNA4	-0.724652567	0.032286733
GIC2	-0.873673543	0.032407384
SMC4	0.217376463	0.032465137
MRP49	-0.352578747	0.032466408
SWD1	0.281660757	0.03260023
YGL041W-A	-0.824806622	0.032671979
OAF3	0.413277164	0.032784747
HMG2	0.475110223	0.032772842
GLY1	-0.301763117	0.032854072
TSC11	0.17871094	0.032901203
TDH2	0.700981937	0.032964098
ILM1	0.343793909	0.032962084
TDA11	0.375169068	0.032951644
YPT53	0.489796595	0.032923531
SOK2	0.639659819	0.033192792
PRP3	0.237153229	0.033662785
OLE1	-1.022223717	0.033683676
SER33	0.236609334	0.033678171
URA10	1.12469314	0.033791691
ASG1	0.283515713	0.034088404
GTR1	0.272446556	0.034441954
SPO7	0.378270919	0.034412881
MTC4	0.454632367	0.034738447
SSU1	0.544455033	0.035022596
IGD1	-0.34881958	0.035013117
PML39	0.308695935	0.035010224
FRT1	0.547426363	0.03516717
DGA1	0.659789416	0.035158801
YIL001W	0.231213467	0.035187702
NAT5	-0.575129301	0.035154385
YML020W	0.351730793	0.035281085
RNR3	1.048618958	0.035278437
RGT1	-0.373101275	0.035436183
TUS1	0.296952755	0.035398081
DPB2	0.297183414	0.035407761
NPP1	0.256732735	0.035461515
RPO41	-0.251835532	0.035457196
DBP8	0.155048624	0.035430777
FUN19	-1.033127393	0.035441021
BCH2	0.244098571	0.035454128
MRPL39	-1.320129352	0.03551339
PEX17	0.180911991	0.035532652
SML1	-0.401349672	0.035503553
ULS1	0.200091807	0.035709561
QDR2	-0.227010479	0.036228965
RIP1	-3.210919438	0.03632612
STL1	-2.546630192	0.036330231
BUD17	0.496163832	0.036398729
UMP1	0.884062004	0.036519477
YCR051W	0.357693003	0.036741758
PDC2	0.257008201	0.036782083
STB6	0.901385038	0.036832405
RAD3	0.315402086	0.036859039
CPA1	0.952664574	0.036976022
ITR2	0.456491304	0.03694778
PTR2	-0.249740864	0.036966484
TRS85	0.223749466	0.036954953
RAM2	0.360424191	0.03696941
SSS1	0.27720216	0.037270509
SIL1	-0.415976195	0.037349826
ECM5	0.351152245	0.037379158
FMS1	0.580081334	0.037656505
YRF1-1	0.531493785	0.037639795
YMR102C	0.369370567	0.03765817
SED4	0.279256686	0.037708293
YGR127W	0.32773512	0.037952163
YNL115C	0.408991416	0.037962924
LCD1	0.379973492	0.037928937
GCR1	0.408229998	0.038050317
YHR045W	0.370795388	0.038039767
VPS34	0.211663726	0.038032513
YKR096W	0.56782776	0.038086502
EMI2	0.369189369	0.038075211
MRPL17	-0.896798067	0.038055662
MCK1	0.114656727	0.038207322
ART10	0.327957075	0.038175139
EDS1	-1.098393794	0.038176801
INO1	-1.04217555	0.038185803
NUP120	0.247005945	0.038170845
YKL187C	1.867294569	0.038444859
YLR283W	-0.590976618	0.038527144
RRG7	-0.794143919	0.038593894
MPD2	0.30938794	0.038555859
SIP5	0.231917896	0.038522037
HCM1	-0.457650062	0.038482988
NOG2	-0.162031773	0.038476885
YMR090W	0.459837244	0.038466486
PTC5	-0.301771382	0.038481853
DOT1	0.413939319	0.038640783
CDC60	-0.243467875	0.038618141
YLR422W	0.130321507	0.039004595
COR1	-1.585055321	0.039059643
"DUR1,2"	0.472647784	0.039113523
YJL045W	-2.093745479	0.039100275
ERR3	1.092975295	0.039178043
LEU3	0.384741166	0.039173499
SHU1	0.621551786	0.039144662
AIM9	-0.313077335	0.039105051
SCC2	0.259036873	0.039129115
KRS1	-0.129193558	0.039202263
MRM2	-0.396271759	0.039225051
KIN2	0.215199369	0.039219471
COX5B	-0.766137469	0.039180177
HAT1	0.312287994	0.039296932
HSV2	0.315581466	0.039274444
CUP9	-0.478192971	0.039238567
PRB1	0.412307435	0.0401891
YPT52	0.281530646	0.040246585
YCR075W-A	0.18357663	0.040238775
JJJ3	0.816230036	0.040317682
YAP1801	0.528873826	0.04041236
VPS41	0.210524834	0.040591249
YEL1	0.399117703	0.041280902
SSA3	0.393943974	0.041438377
RER2	0.224551154	0.041464831
VPS16	0.257053441	0.041443075
HOS1	0.357659649	0.041410321
LAP4	0.203974764	0.041407299
HEM3	-0.730399415	0.041457553
CPS1	0.560488399	0.041474665
ADA2	0.240154759	0.041594857
YMR206W	-0.707983957	0.041568106
RFT1	-0.310471463	0.041656736
PGA3	0.348125336	0.04179527
OXR1	0.373431244	0.041761889
CFT1	0.162582126	0.041901527
DBR1	0.442667069	0.041934176
YFR018C	0.397654095	0.041918548
VPS15	0.204488588	0.041890549
CAK1	0.120071488	0.041894582
SMT3	0.378136845	0.041870461
YFL042C	0.420305639	0.041879615
ERG9	0.32226306	0.041895589
YBL029C-A	-0.836387494	0.042020031
RNH70	0.313944614	0.042074286
MRPL1	-0.300055451	0.042051488
PRP5	0.288822048	0.042080801
YBL036C	0.168618957	0.042271081
SPO73	0.302432701	0.042271017
NCP1	0.495299301	0.042266143
ASC1	-0.236346212	0.04222942
SMY2	-0.429581391	0.042328811
YGR071C	0.151748939	0.042442755
ATP16	-0.396361239	0.042491916
YER079W	0.386567678	0.042653139
ERG20	-0.260177966	0.0426682
PEX30	0.441345946	0.042714342
SAT4	-0.280187746	0.04269777
ROD1	0.239945691	0.04265722
SMF2	0.28540977	0.042634321
PDE1	0.270944159	0.042716717
YEL020C	-0.096291225	0.043142868
SHY1	-0.702939861	0.043104773
LAS1	0.308631561	0.04309775
POM33	0.533334394	0.043161395
YJL016W	-0.357326783	0.043120606
UBX2	0.428406557	0.043365361
YPK2	0.142247525	0.043385823
SWM2	0.441568142	0.043469425
GEP3	-0.341742442	0.043564373
SKM1	-0.60961941	0.043681717
ARI1	0.895216134	0.043668432
SOL4	0.496989589	0.043809139
ALG3	0.329046238	0.044011768
GPI15	0.296063413	0.044019764
HEM15	-0.289743304	0.044143461
YPC1	0.305417221	0.0441175
ISD11	-0.609429476	0.044306852
ROY1	0.166691297	0.044281762
AMD1	0.248686772	0.04427738
YGL117W	0.752723	0.04461657
COG2	0.271449633	0.044747601
YET3	0.256046601	0.044904504
NHP6B	0.580798424	0.044888774
ALG14	0.458532577	0.044938418
YFL052W	0.567305918	0.044967126
ZTA1	0.844400567	0.04516008
PGA2	0.470512095	0.045394213
HAP4	-0.728086172	0.045449448
PRP16	0.182096924	0.045418652
COQ4	-0.368073668	0.04539439
ROM1	0.374458803	0.045368195
ALG8	0.293771204	0.045352959
KNH1	0.940246067	0.045354859
ATG34	0.710449523	0.04531367
ECM21	0.293028212	0.045329578
HMS2	0.382384946	0.045288289
RFA2	0.16278575	0.04558189
LIN1	0.429348663	0.045627372
ADY2	#DIV/0!	0.045695048
YGR130C	0.214076504	0.045767797
YDL177C	0.285759552	0.045823083
FDC1	0.592873641	0.045921093
TAX4	0.43208395	0.045920789
YME1	-0.326711298	0.046129253
ARP7	0.16306828	0.046152391
GYP8	0.375931738	0.046172822
YDC1	0.279997471	0.046177433
SPE1	1.42301729	0.046177321
PHO90	0.428232528	0.046277019
PSY4	0.233286495	0.046303931
ATP7	-2.422027471	0.046478708
SEY1	0.244560839	0.046452743
TRS130	0.126180453	0.046431013
ATG33	0.461263185	0.046502369
SKP1	0.130377053	0.046575875
RVB2	-0.230804629	0.046592144
SRS2	0.448751193	0.046604153
PEX10	0.35499375	0.046580602
UPS1	-0.73507067	0.04657677
PRP2	0.374524999	0.046637373
MAS1	-0.335624784	0.046633445
ADK2	0.643972255	0.046617623
COQ2	-0.315227095	0.046696794
PRX1	-0.750010337	0.046693966
SWI1	0.190883092	0.046665293
SHE4	0.220883321	0.046637019
SIN4	0.269582968	0.046607856
PSK2	0.475914569	0.046709575
RPS2	-0.288351787	0.046785933
YBR085C-A	0.327175453	0.046755013
YNL040W	0.359252356	0.046756713
THO2	0.220426216	0.046826143
ERV46	0.220155634	0.046843811
SYF2	0.203710332	0.046907926
RKI1	-0.504043485	0.046947414
HIS7	0.180029235	0.046936089
BUD9	0.56999556	0.046954854
MDM34	-0.637987004	0.046977022
FSH1	-0.418227049	0.046942638
PET9	-1.712561433	0.047078822
FMP52	0.764954886	0.047069255
NDC1	0.304150912	0.04708416
PCP1	-0.35698816	0.047481875
URA4	-0.2954486	0.047472166
CAX4	0.483962536	0.047688396
CCT7	-0.203560686	0.047876704
YLR460C	-1.194138362	0.047919585
DPM1	0.235407432	0.047952811
URC2	0.275297516	0.047983485
BMS1	-0.250422717	0.048098268
DAP2	0.434220581	0.048264746
GAC1	-0.394842264	0.048493367
TOF1	0.234963002	0.04852961
SGT1	0.268917259	0.048868946
HMG1	0.26517625	0.048837193
GDE1	0.24297325	0.048873923
CRZ1	0.227629688	0.04885135
PSP1	-0.275235317	0.048865573
YOR389W	0.480153093	0.04908136
HSP42	0.170261494	0.049221335
CYK3	-0.319544895	0.049258983
ADH5	1.060186116	0.049232016
PAM1	-0.232267486	0.049199922
OMA1	-0.255751662	0.049240749
YDL183C	0.215735251	0.049239012
CWC22	0.282586371	0.049237849
TRM1	0.220878975	0.04922712
GCV1	-0.350918302	0.049262338
XKS1	-0.341786027	0.049626046
YLR173W	0.443554133	0.049740094
CNS1	0.217644877	0.049808229
SPT20	0.249318671	0.049839052
PCT1	0.238607825	0.049918467
TGS1	0.566938271	0.049884633
PGA1	0.334640382	0.049872771
RPS16B	-0.310107952	0.049908606
HUG1	1.527934749	0.049947478
SNF8	0.270727264	0.050517222
CTM1	0.243086009	0.050697
BAT2	1.479527211	0.050773223
RAV1	0.214927226	0.050730963
IMG1	-0.552308187	0.050842575
SHU2	0.845245852	0.051032646
CTF3	0.114067246	0.051224736
FRT2	0.877983606	0.051434503
MSN5	0.212989252	0.051413719
RIF1	0.173113535	0.051416884
ADE1	0.32319138	0.051376227
ADE2	0.286020766	0.051378774
NOP8	-0.290220096	0.05136361
MSS1	-0.429126526	0.051361392
APC1	0.164129562	0.05149732
IPI1	0.212255797	0.052054213
FMP27	0.246168588	0.052091242
TAT1	-0.289941712	0.052336931
NSE3	0.226673382	0.052753609
CPR3	-0.432615707	0.052718824
PTH1	-0.477940264	0.052788992
CIR1	-0.549471324	0.052903131
ECM9	0.176788501	0.052860183
JID1	-0.984755913	0.052961069
CWC27	0.300660327	0.053010489
SOM1	-1.255782587	0.052992239
DCS1	0.255885224	0.053105807
ULA1	0.190614844	0.053104063
BLS1	0.228538374	0.053107584
MOT1	0.207247237	0.053093644
AEP3	-0.231117199	0.053077509
SWI6	0.179444366	0.053380244
MDH1	-1.797356683	0.053460393
PIF1	-0.312343516	0.053506422
NDD1	-0.503622198	0.053637742
CWH41	0.27484344	0.053606483
MKS1	0.500353877	0.053660063
YML6	-0.897310109	0.053852612
PDC6	0.295075751	0.053861001
GLC3	0.257442319	0.053955926
DMA2	0.259680981	0.054008747
YER156C	-0.162579925	0.054051979
YER158C	-0.448778228	0.054232721
PKH2	0.252890907	0.054462441
YPR097W	0.291910666	0.05442665
SEC12	0.354434145	0.054395335
YLR050C	0.454449553	0.054514914
NGL1	-0.525096145	0.054505896
PMA1	-0.594868292	0.054567345
PHB1	-0.494574934	0.054540985
BEM4	0.308937725	0.054741111
SNU71	0.152423208	0.054906499
MVD1	0.161670431	0.055041661
YCR015C	0.301915734	0.055205135
ENT4	0.131605331	0.055470057
LCB5	0.201878847	0.055444329
YPR174C	0.454167094	0.055436721
RTT103	0.231012939	0.055472591
UBP14	0.363482014	0.055514903
YBP2	0.111683637	0.055472983
NHP6A	0.335784195	0.055486701
YMR1	0.21098049	0.055545226
NOP13	-0.2509916	0.055640527
IES2	0.202066866	0.055671382
TOM1	0.197832037	0.055810961
SGF73	0.21920227	0.055944586
GLO1	0.388888529	0.056089983
FAR10	0.245597678	0.05609646
APE2	0.26839824	0.056318783
CTR86	0.268277936	0.056374875
AVL9	0.214462067	0.05663769
DDR48	-0.594280375	0.05692376
SFC1	-1.324583283	0.057094659
BUD2	0.230387701	0.057254462
SPS19	0.599348944	0.057447214
ALD2	0.288044763	0.057604974
MET28	0.605403685	0.057745196
GAL80	0.278481346	0.05777887
PSH1	0.268208936	0.057778639
EMC1	0.220712899	0.057898009
PTC7	-0.310637671	0.057940952
GRC3	0.219460006	0.057901092
GGA2	-0.282384083	0.058258443
MDR1	0.187478961	0.05835101
YLR345W	0.137502898	0.058483935
BPL1	0.196122706	0.058687864
SSH4	0.494033119	0.058641409
MAP1	-0.271607104	0.058690327
PKC1	0.177452436	0.058829661
CHL4	0.650926873	0.058912797
DDC1	0.209916226	0.059009078
RRN11	0.262634245	0.058983196
SER1	0.320718815	0.059733416
DOC1	0.251234627	0.059840382
ENA1	0.53938543	0.060251752
VMA1	0.164948137	0.06023684
XDJ1	0.573438654	0.060379758
ECM14	0.293512074	0.060571632
SNU66	0.228884972	0.060524082
CYB2	1.27096371	0.060852174
ATP14	-1.697665211	0.060945604
SSY5	-0.435415085	0.061150751
YNL165W	0.869820502	0.061110511
YJR061W	0.423282879	0.061234615
MNL1	0.347866718	0.061806957
PRM9	0.301277039	0.061762684
NPT1	-0.122889155	0.061765085
OCH1	-0.228733714	0.061771115
XRS2	0.173445331	0.06172543
ESC1	0.306431373	0.06169925
ATG3	0.311300367	0.061824877
POR1	-1.381257974	0.062057263
GRX7	-0.250734899	0.062210647
BUB1	0.40275416	0.062236829
HOT13	1.754769515	0.062344221
YNL208W	0.528438073	0.062305682
FPR3	0.210529171	0.062364304
YLR352W	0.382615268	0.062598681
IMD2	-0.37930723	0.062732273
SPP41	0.371300418	0.062699369
RCK2	-0.226946813	0.06280512
MSN4	-0.83430913	0.062805409
NUP84	0.313813983	0.062997959
TAH1	0.299117209	0.063068744
ITR1	0.468891599	0.063206306
YOR1	0.350586146	0.06325518
ATG11	0.440661111	0.063401956
YLR413W	0.586329208	0.063411772
CYC3	0.448959194	0.063591352
MBF1	-0.261715608	0.063677205
SLA2	-0.252595537	0.063665097
DIA1	-0.56988923	0.063810802
TMT1	0.460658941	0.063761523
FMP21	0.294096796	0.06420482
LGE1	0.169170226	0.064329928
ADE13	0.257309673	0.064652332
HFD1	0.215722477	0.064853611
FUN14	0.490900113	0.064924843
SPT10	0.217393816	0.064883896
CSR1	0.243149036	0.064839939
SPE3	0.203465648	0.064875885
SET2	-0.167582748	0.065161691
NEO1	0.130095952	0.065260143
PEP5	0.210200963	0.065496353
INP52	0.152352022	0.065529503
NUP170	0.126390441	0.065573275
FMP25	-0.870725108	0.066207095
YCL012C	-0.222773456	0.066415524
CUL3	0.313375332	0.066383153
NEJ1	0.284626364	0.066331882
OXA1	-0.252384525	0.066629658
ATG2	-0.237494291	0.066609548
DCG1	-0.350981735	0.066567966
PEX14	0.130909901	0.066775961
SCW4	0.726933359	0.066796358
APT2	0.307619229	0.066928206
GPI17	0.244772611	0.06755273
AIM5	-0.561845101	0.067510981
RTC1	0.17200829	0.067824287
BUR2	0.193968954	0.067969402
MSP1	-0.211853341	0.067952258
MPA43	-0.240487146	0.068084221
ALG12	0.292418167	0.068085996
SWR1	0.196293421	0.068453843
SIP3	0.228157451	0.068564374
PSR1	0.228672254	0.068919851
SBA1	0.168837893	0.069161335
RSF1	0.461621015	0.069311798
SNA4	0.489732542	0.06973452
TPO3	-0.469827825	0.069787794
DIE2	0.281946409	0.069803224
MDM1	0.342114012	0.069919381
TPK2	0.19213707	0.069871258
YDR286C	-1.487381834	0.069928143
TVP15	0.239887624	0.07008343
OKP1	0.405249146	0.070051085
GRS2	0.298699356	0.070364044
YJR142W	0.293627058	0.07031342
RIM13	0.317037947	0.070498084
CBP6	-0.330094935	0.070478635
ISW2	0.277742426	0.070529035
MGR1	-0.158560348	0.070501998
VTA1	0.364209948	0.070466473
YMR262W	0.320864232	0.07050833
TDH1	0.457079376	0.070528871
TEL2	0.220286601	0.070493125
RAX1	0.296421408	0.070551848
FRK1	-0.344198592	0.070826383
MMT1	-0.591199373	0.070892545
UAF30	0.283672049	0.071218625
RCN1	-0.335081884	0.071299047
SPC1	0.384351132	0.071433668
BCD1	0.18837672	0.071511113
SDT1	-0.164901869	0.071667849
ASA1	0.342625385	0.071627763
MSS11	0.254275776	0.071996822
ICS2	-0.421209626	0.072011734
UBC1	0.249959593	0.072137827
IRC20	0.226612182	0.072223425
VHS3	0.290388773	0.072240901
DLD2	-0.469562588	0.072282773
PFY1	0.189912815	0.072254948
MRPL15	-0.383638209	0.07237285
PCC1	-0.211182553	0.072452074
BRR6	0.514652519	0.072505147
APJ1	0.733334553	0.072550147
VID30	0.132392003	0.072527588
RPS22A	-0.152740934	0.072884073
YIR007W	0.400235593	0.07291119
YPT10	0.155018612	0.072904028
PBP4	-0.278651731	0.072892244
DAP1	0.252162598	0.073129104
FYV10	0.217558825	0.073357163
CLF1	0.206174928	0.073470396
YOL087C	0.28624311	0.07365492
SLC1	0.275492028	0.073707272
RAV2	0.196026889	0.073946037
YDL129W	0.61614044	0.074030122
ERP4	0.280373547	0.074534046
ADH1	0.760321679	0.074839903
USV1	-0.235419425	0.074942076
RTN2	0.518803303	0.074895065
YPR084W	0.226761739	0.075039736
ALG2	0.215421407	0.0760541
ABP140	-0.200362126	0.076022612
RTT107	0.211425163	0.076148875
JJJ1	0.247084544	0.076265109
MET16	0.790702201	0.076323524
YGL082W	0.139645868	0.076279385
LAT1	-0.255287185	0.076426601
ARG8	-0.296065676	0.076411651
RRP45	0.14017329	0.076581685
PRP9	0.400889888	0.076870543
QCR2	-1.840165932	0.076915777
YMR178W	0.342029576	0.076955768
TPS1	0.239695519	0.077023354
YDR131C	0.296771515	0.077053475
ECM31	-0.241668127	0.077169754
FZF1	-0.123425046	0.077239718
VTI1	0.140022096	0.077257123
PRP6	0.21972467	0.077758462
QCR6	-1.868272032	0.077753539
GLN4	-0.163299987	0.078421025
APE3	0.453975113	0.078658079
LEU9	-1.279339873	0.078663606
FAL1	0.299230286	0.078623971
DUO1	0.140830535	0.078617971
MTQ2	0.482935157	0.078970047
SEC5	0.119228539	0.078932246
SAS4	0.159692998	0.078972434
YGR126W	0.277114142	0.078946635
YPR1	0.193556433	0.079156666
GCV3	-0.450772997	0.079644167
YBR071W	-0.321293609	0.079739922
ESF1	0.131862672	0.079734562
CYR1	-0.105464774	0.079701328
OCA1	0.31392333	0.079690248
UTH1	1.320458347	0.080061265
YBR141C	0.223833929	0.080134513
YPR127W	0.149749886	0.080354665
YOL103W-A	0.240923492	0.08050303
IML3	0.481824262	0.08047966
PEF1	0.227619517	0.080709726
HSP30	-3.537814601	0.081136709
SEC24	-0.204908728	0.081655869
GBP2	-0.43293311	0.082028425
MGM101	-0.369795797	0.082150674
DDI1	0.263223601	0.082195577
NUF2	0.24245151	0.082315665
YHL018W	-0.257426616	0.082296256
WTM1	0.412177547	0.082270304
GIN4	-0.347070162	0.082581258
RAD17	0.287147584	0.082751659
PEX4	0.336282446	0.082861832
ALK1	-0.244485388	0.08289172
TDA7	0.271909674	0.083005259
CCT6	-0.23830864	0.083208646
RAP1	0.154856889	0.08316512
BPH1	0.292788137	0.083108282
ASI1	0.287400536	0.08307235
RXT2	0.180376176	0.083117851
ATS1	0.169686453	0.083194171
MET13	0.234624464	0.083186246
FMP40	-0.119965771	0.083204733
GRX4	-0.618114745	0.083199025
YBR255C-A	-0.380593295	0.083194099
RPL36B	-0.384405998	0.08325299
SIW14	0.25952199	0.083245215
TIM11	-2.939060163	0.083279787
HNT3	0.46159792	0.083278793
ARH1	-0.208942708	0.083734528
FET5	0.240974257	0.083705509
DHR2	0.286896791	0.083874916
CTS1	0.943363382	0.083849007
SCS3	0.221176578	0.083872135
ISF1	-0.274329659	0.083853455
YGR017W	0.285704225	0.084031168
DPL1	0.261129603	0.084058188
VHS1	-0.508159668	0.084054639
DYN2	0.311514993	0.084137332
OST1	0.281192436	0.084212502
AKR1	0.359252723	0.08420747
STB5	0.303053134	0.084195358
ERG27	0.3243166	0.084137404
ATG17	0.141739295	0.084191868
PRP45	0.257804103	0.084342772
HMT1	0.177260293	0.084299316
YIL096C	0.166997724	0.084357572
PHO85	0.140260792	0.0846452
YPK3	-0.21907195	0.084967933
SDC1	0.214326745	0.084959599
IRA2	0.15195299	0.085075686
SPT8	0.194391565	0.085218368
VPS45	0.131118849	0.085266955
PHO80	0.311319844	0.085422151
NRG2	0.625394988	0.085421703
RAM1	0.204540683	0.085431854
VPS33	0.25040505	0.085396714
BLM10	0.266363451	0.085474662
OLA1	-0.230931939	0.085525475
MMF1	0.453746117	0.085651024
SOP4	0.293937914	0.085610795
YOR342C	0.485830698	0.085682235
FMP46	0.455950256	0.08567154
STU2	0.163474699	0.085964106
CDC14	-0.115413426	0.08596956
YHR080C	-0.260724869	0.086166655
CPR2	0.311196524	0.086114926
SIS1	0.248016675	0.086190008
CCT3	-0.181154323	0.086692802
MMT2	-0.312428509	0.086757202
PIM1	-0.188850671	0.087210799
ATG9	0.300264488	0.087230088
PAN6	0.170855572	0.087691877
YER034W	0.472797602	0.088090549
NRK1	0.163840888	0.088171303
SNQ2	0.520142866	0.088505449
STT4	0.192128321	0.088610225
ARP5	0.141957712	0.088717922
PRP18	0.253842547	0.088749474
ADP1	0.679871018	0.088817014
RTT105	0.308309464	0.088883782
YMR155W	0.330021256	0.088977162
TYR1	0.202745883	0.089208669
OCA4	0.277697859	0.089212919
DYN1	0.269111914	0.089249543
TRI1	0.215820965	0.089269265
SEC39	0.087306168	0.089349658
ENT3	-0.29811991	0.089590191
IFM1	-0.218422898	0.089734526
CRT10	0.15308829	0.089681923
RNR1	-0.455045013	0.089676775
DAK1	0.254103818	0.08969823
OTU1	0.377574498	0.089736869
TDP1	0.392907117	0.089680105
TOR1	-0.110701944	0.089723086
LYS14	0.205029292	0.089881995
YMR160W	0.24535223	0.090722114
CSI1	0.368840633	0.09070752
SGN1	-0.433558553	0.090758437
SCW10	0.678778241	0.090804963
UBP7	0.239584654	0.091054668
SOK1	0.138101568	0.091000804
JJJ2	0.455986367	0.091005605
YDR387C	0.261000704	0.091198961
YMC2	0.420483882	0.091377377
OPI10	0.346948405	0.091436582
YPL077C	-0.249343016	0.09170915
FAB1	0.151294613	0.091659738
CDC23	0.29976417	0.091615163
PUF3	-0.131281322	0.091628142
ERG13	-0.198521774	0.091631887
LCP5	0.254259688	0.091659851
LSB6	0.36935828	0.091691431
YEF3	-0.466777888	0.092202161
SRO9	-0.332118847	0.092327023
FPS1	0.319980773	0.092315578
EGT2	1.284319952	0.092290078
TFC3	0.22700374	0.092351144
IML2	0.258608333	0.09256347
OAR1	0.270751079	0.092732919
ARO7	-0.267920853	0.092911369
CET1	0.146724601	0.092851453
RPL36A	-0.246405678	0.093096705
FMN1	-0.171633467	0.09310248
ARC1	-0.351387537	0.093180883
THR4	0.165425836	0.093137288
PET111	-0.392445236	0.093101172
ALD5	-0.118574585	0.093175236
CCA1	-0.108034346	0.093128244
SKI7	0.163795593	0.093240761
COX18	-0.623715716	0.093216117
BUD22	0.155849555	0.093740867
RDL2	-0.216036132	0.093890213
RPL30	-0.29849265	0.093879216
AME1	0.37787903	0.094422839
SAM4	-0.41145316	0.094386909
YLR271W	0.245479402	0.094393255
CDC53	0.188814309	0.094424144
ECM2	0.28383176	0.094367894
SGS1	0.19378955	0.094519598
SKP2	0.291653555	0.094537835
YKU80	0.166340974	0.094514292
YSP1	0.287182946	0.094601596
TGL2	-0.338521429	0.094652454
YHR138C	0.621313395	0.094763828
YDR161W	0.230207632	0.094706798
YER064C	0.244347414	0.094696275
SMC2	0.235628882	0.094774969
BUD31	0.394005281	0.094905522
SYS1	0.327608676	0.095359468
GIS4	0.156972317	0.095566403
TTI2	0.184796198	0.095602527
RIX7	0.182186831	0.09561014
NAB6	-0.255409974	0.095559063
LIF1	0.399558867	0.095521366
TIF4631	-0.243439399	0.09571762
TRM2	0.354616327	0.095920274
RRP12	0.203481017	0.096397385
POB3	0.231465415	0.096426416
YDR262W	0.190103417	0.096756302
RSC3	0.197378747	0.096946705
TOF2	0.131354726	0.096905549
PSY2	0.176665869	0.097266708
APA1	0.223087016	0.097316503
CAD1	0.415228336	0.097314447
MRPS18	-0.886816664	0.098031926
PPN1	0.285733155	0.098167683
PEA2	0.077988217	0.098285531
WHI4	-0.22369077	0.09835712
RPL3	-0.289903338	0.098365933
ELA1	0.313765056	0.098326194
GSH1	0.182988323	0.098653248
RGR1	0.217285337	0.098728
RER1	0.106278246	0.098905359
YFR006W	0.257705757	0.098880936
VCX1	0.336517568	0.098882648
PHO87	0.177023311	0.098827756
YPP1	0.121023994	0.099287748
VPS64	0.228218896	0.099269019
ARL3	0.24539835	0.099365434
YAP5	0.534150889	0.099346215
UTR4	0.372539411	0.099356546
SEC1	0.234847274	0.099812418
YDR186C	0.299466564	0.099808511
SSK2	0.135051235	0.100138918
YBR074W	-0.200858924	0.100211002
BNA2	-0.187080089	0.10018716
EXG2	0.277565023	0.100185266
NAR1	0.27157579	0.100212128
RIA1	0.212846756	0.100315099
TRM13	0.357183969	0.100276322
CLN1	-0.510020801	0.100313813
YAR1	0.178072188	0.100307042
GSY1	0.276209396	0.100254987
